feature,sorted_idx,center_idx,left,peak,right
fixed acidity,0,2,4.6,7.111858974358975,7.305294278468054
fixed acidity,1,4,7.305294278468054,7.498729582577132,7.856678224124387
fixed acidity,2,1,7.856678224124387,8.214626865671642,8.350170575692964
fixed acidity,3,0,8.350170575692964,8.485714285714286,9.555055534278054
fixed acidity,4,3,9.555055534278054,10.624396782841824,15.9
volatile acidity,0,3,0.12,0.40760053619302944,0.4272618065580532
volatile acidity,1,2,0.4272618065580532,0.4469230769230769,0.48756868131868136
volatile acidity,2,0,0.48756868131868136,0.5282142857142857,0.5324578891257996
volatile acidity,3,1,0.5324578891257996,0.5367014925373135,0.5931465720399817
volatile acidity,4,4,0.5931465720399817,0.6495916515426499,1.58
citric acid,0,4,0.0,0.114573502722323,0.17834444366885382
citric acid,1,2,0.17834444366885382,0.24211538461538462,0.26698306544202066
citric acid,2,1,0.26698306544202066,0.2918507462686567,0.3909923972630147
citric acid,3,3,0.3909923972630147,0.4901340482573727,0.49560273841440067
citric acid,4,0,0.49560273841440067,0.5010714285714286,1.0
residual sugar,0,0,0.9,1.9892857142857143,2.0738896520146524
residual sugar,1,2,2.0738896520146524,2.15849358974359,2.197803963655824
residual sugar,2,4,2.197803963655824,2.2371143375680584,2.4864526111432785
residual sugar,3,3,2.4864526111432785,2.7357908847184986,2.9758058901204434
residual sugar,4,1,2.9758058901204434,3.2158208955223886,15.5
chlorides,0,2,0.012,0.06805769230769229,0.07614681348596955
chlorides,1,4,0.07614681348596955,0.08423593466424682,0.0856273507101395
chlorides,2,3,0.0856273507101395,0.08701876675603216,0.08781236845264295
chlorides,3,1,0.08781236845264295,0.08860597014925373,0.22412441364605545
chlorides,4,0,0.22412441364605545,0.35964285714285715,0.611
free sulfur dioxide,0,3,1.0,10.166219839142084,10.94291028254745
free sulfur dioxide,1,4,10.94291028254745,11.719600725952816,13.538371791547837
free sulfur dioxide,2,0,13.538371791547837,15.357142857142858,16.48385989010989
free sulfur dioxide,3,2,16.48385989010989,17.610576923076923,22.551557118254877
free sulfur dioxide,4,1,22.551557118254877,27.492537313432834,72.0
total sulfur dioxide,0,3,6.0,29.024128686327057,31.571048009225237
total sulfur dioxide,1,4,31.571048009225237,34.11796733212342,36.85225289683095
total sulfur dioxide,2,2,36.85225289683095,39.58653846153847,51.41826923076923
total sulfur dioxide,3,0,51.41826923076923,63.25,77.22947761194028
total sulfur dioxide,4,1,77.22947761194028,91.20895522388057,289.0
density,0,2,0.99007,0.9944376602564102,0.9955274508178602
density,1,4,0.9955274508178602,0.9966172413793103,0.9968518349753694
density,2,0,0.9968518349753694,0.9970864285714286,0.9972812739872068
density,3,1,0.9972812739872068,0.9974761194029851,0.9978323894602057
density,4,3,0.9978323894602057,0.9981886595174263,1.00369
pH,0,0,2.74,3.043214285714286,3.1122907889697435
pH,1,3,3.1122907889697435,3.181367292225201,3.2343105117842423
pH,2,1,3.2343105117842423,3.2872537313432835,3.329325595254219
pH,3,4,3.329325595254219,3.3713974591651543,3.390410268044116
pH,4,2,3.390410268044116,3.409423076923077,4.01
sulphates,0,4,0.33,0.5904718693284937,0.6098628003358886
sulphates,1,1,0.6098628003358886,0.6292537313432836,0.6548832759280521
sulphates,2,2,0.6548832759280521,0.6805128205128206,0.6996397882724961
sulphates,3,3,0.6996397882724961,0.7187667560321715,0.9988476637303715
sulphates,4,0,0.9988476637303715,1.2789285714285714,2.0
alcohol,0,0,8.4,9.496428571428572,9.659458066808813
alcohol,1,1,9.659458066808813,9.822487562189055,9.886546261433306
alcohol,2,4,9.886546261433306,9.950604960677557,10.284104982572916
alcohol,3,3,10.284104982572916,10.617605004468276,11.18503113471277
alcohol,4,2,11.18503113471277,11.752457264957265,14.9
